InputForce,CalForce,HeadForce,HeightValue
0.7,0.7,0.68,233.963333333333
1.24,1.24,1.21,368.754999999999
1.78,1.78,1.74,499.796666666665
2.33,2.33,2.27,633.963333333333
2.87,2.87,2.82,768.963333333333
3.41,3.41,3.38,904.588333333333
3.95,3.95,3.94,1036.67166666667
4.49,4.48,4.48,1159.79666666667
5.04,5.03,5.04,1286.67166666667
5.58,5.57,5.58,1409.79666666667
6.12,6.11,6.19,1549.58833333333
6.66,6.66,6.74,1675.63
7.21,7.21,7.28,1798.755
7.75,7.74,7.75,1907.71333333333
8.29,8.28,8.28,2020.63
8.83,8.82,8.79,2140.63
9.37,9.36,9.34,2265.83833333333
9.92,9.92,9.87,2384.79666666667
10.46,10.46,10.42,2511.88
11,10.99,10.97,2626.88
